seasonYear,gameString,gameDate,gameType,visitor,home,visitingTeamFinalRuns,homeTeamFinalRuns,inning,side,batterId,batter,batterHand,pitcherId,pitcher,pitcherHand,catcherId,catcher,timesFaced,batterPosition,balls,strikes,outs,manOnFirst,manOnSecond,manOnThird,endManOnFirst,endManOnSecond,endManOnThird,visitingTeamCurrentRuns,homeTeamCurrentRuns,pitchResult,pitchType,releaseVelocity,spinRate,spinDir,px,pz,szt,szb,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,paResult,runsHome,battedBallType,battedBallAngle,battedBallDistance,atbatDesc
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,542454,Danny Santana,R,519242,Chris Sale,L,452095,Tyler Flowers,1,SS,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FT,96.4,2670.84,122.879,-0.083,3.108,3.44,1.47,2.555,50,5.187,-11.236,-140.878,-2.484,21.781,35.521,-18.095,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,542454,Danny Santana,R,519242,Chris Sale,L,452095,Tyler Flowers,1,SS,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,FA,89.2,1892.49,109.688,0.062,1.933,3.33,1.46,2.54,50,5.012,-9.495,-130.458,-2.804,16.023,27.088,-26.441,IP_OUT,,FB,14.29,358.56,Danny Santana flies out to center fielder Adam Eaton.
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,572821,Brian Dozier,R,519242,Chris Sale,L,452095,Tyler Flowers,1,2B,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FT,96.6,2477.72,119.411,-0.999,1.406,3.02,1.25,2.249,50,4.904,-12.778,-140.998,-5.994,20.977,36.72,-20.349,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,572821,Brian Dozier,R,519242,Chris Sale,L,452095,Tyler Flowers,1,2B,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,FT,96.6,3410.58,125.202,1.128,2.598,2.93,1.25,2.607,50,5.102,-8.99,-141.387,-4.675,27.16,30.982,-13.014,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,572821,Brian Dozier,R,519242,Chris Sale,L,452095,Tyler Flowers,1,2B,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SS,FT,97.1,2841.02,124.679,0.448,3.579,2.93,1.25,2.459,50,5.227,-9.714,-142.058,-1.695,22.877,33.682,-16.346,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,572821,Brian Dozier,R,519242,Chris Sale,L,452095,Tyler Flowers,1,2B,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,CH,87.2,2945.06,111.404,1.041,1.31,2.93,1.25,2.879,50,4.933,-9.414,-127.536,-4.594,24.104,26.959,-22.726,IP_OUT,,GB,-18.69,82.51,"Brian Dozier grounds out, third baseman Conor Gillaspie to first baseman Jose Abreu."
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,408045,Joe Mauer,L,519242,Chris Sale,L,452095,Tyler Flowers,1,DH,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FT,94.1,3425.03,130.971,-1.187,1.543,3.72,1.66,2.475,50,5.134,-14.394,-137.114,-7.628,24.441,34.459,-10.95,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,408045,Joe Mauer,L,519242,Chris Sale,L,452095,Tyler Flowers,1,DH,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FT,92.1,2259.85,99.111,0.426,2,3.77,1.66,2.548,50,5.023,-9.532,-134.692,-2.578,20.716,31.033,-28.852,,,,,,
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,408045,Joe Mauer,L,519242,Chris Sale,L,452095,Tyler Flowers,1,DH,1,1,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,IP,CH,85.6,2791.75,111.778,-0.244,1.827,3.42,1.66,2.647,50,5.02,-11.655,-124.943,-3.157,22.327,25.367,-23.254,S,,GB,19.42,246.71,Joe Mauer singles on a ground ball to right fielder Avisail Garcia.
2015,gid_2015_04_12_minmlb_chamlb_1,4/12/2015 14:10,REG,MIN,CWS,2,6,1,T,116338,Torii Hunter,R,519242,Chris Sale,L,452095,Tyler Flowers,1,RF,0,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,F,FT,91.6,2801.19,106.009,0.997,1.477,3.47,1.51,2.81,50,4.92,-9.493,-133.938,-4.23,24.858,35.341,-25.042,,,,,,
